engagement_id,impression_id,user_id,ad_id,campaign_id,engagement_type,time_spent_seconds,scroll_depth_percent,interaction_count,engagement_timestamp
ENG-067968,IMP-120001,FNP-U00001,AD-009,CMP-003,hover,15,19,1,2026-01-04 13:24:53
ENG-034225,IMP-145583,FNP-U00001,AD-003,CMP-001,click,9,44,1,2026-01-12 09:58:24
ENG-016839,IMP-129455,FNP-U00001,AD-010,CMP-003,click,7,51,1,2026-01-17 13:29:21
ENG-028892,IMP-179474,FNP-U00001,AD-010,CMP-003,scroll,99,81,2,2026-01-22 21:54:42
ENG-080019,IMP-163637,FNP-U00001,AD-012,CMP-003,click,9,53,1,2026-01-26 21:27:49
ENG-082541,IMP-060461,FNP-U00001,AD-003,CMP-001,scroll,12,62,3,2026-02-11 13:58:58
ENG-007404,IMP-084304,FNP-U00001,AD-021,CMP-006,scroll,47,76,2,2026-02-15 06:17:44
ENG-076585,IMP-040825,FNP-U00001,AD-007,CMP-002,click,10,29,1,2026-02-24 18:38:04
ENG-080447,IMP-009410,FNP-U00001,AD-018,CMP-005,click,9,31,1,2026-03-14 21:17:07
ENG-074522,IMP-136431,FNP-U00002,AD-012,CMP-003,click,9,36,1,2026-01-12 06:56:08
ENG-086129,IMP-046058,FNP-U00002,AD-006,CMP-002,video_watch,300,63,2,2026-01-13 21:30:15
ENG-085328,IMP-073723,FNP-U00002,AD-018,CMP-005,video_watch,79,21,1,2026-01-14 09:45:10
ENG-052312,IMP-172663,FNP-U00002,AD-020,CMP-005,scroll,61,90,3,2026-01-17 09:36:25
ENG-094317,IMP-050746,FNP-U00002,AD-021,CMP-006,hover,18,9,1,2026-02-06 00:08:26
ENG-072386,IMP-156754,FNP-U00002,AD-016,CMP-004,hover,15,0,1,2026-03-06 21:17:11
ENG-088421,IMP-177957,FNP-U00002,AD-005,CMP-002,scroll,46,74,1,2026-03-06 21:52:57
ENG-023033,IMP-166353,FNP-U00002,AD-008,CMP-002,hover,14,4,1,2026-03-10 18:32:19
ENG-019998,IMP-008807,FNP-U00002,AD-001,CMP-001,click,8,54,1,2026-03-20 13:29:04
ENG-014526,IMP-161918,FNP-U00003,AD-010,CMP-003,hover,18,8,2,2026-01-02 21:14:11
ENG-066108,IMP-177560,FNP-U00003,AD-024,CMP-006,click,5,41,1,2026-01-07 13:56:03
ENG-061223,IMP-120749,FNP-U00003,AD-017,CMP-005,click,7,48,1,2026-01-10 13:11:06
ENG-032637,IMP-125109,FNP-U00003,AD-009,CMP-003,scroll,99,43,3,2026-02-06 01:03:50
ENG-060269,IMP-037387,FNP-U00003,AD-003,CMP-001,hover,12,13,1,2026-02-15 13:46:34
ENG-075040,IMP-083590,FNP-U00003,AD-007,CMP-002,click,5,12,1,2026-03-17 06:52:42
ENG-040288,IMP-163030,FNP-U00003,AD-022,CMP-006,click,9,57,1,2026-03-30 06:47:46
ENG-055242,IMP-126973,FNP-U00004,AD-007,CMP-002,click,9,38,1,2026-01-05 21:11:05
ENG-087592,IMP-171574,FNP-U00004,AD-007,CMP-002,click,10,18,1,2026-01-10 09:27:13
ENG-013283,IMP-115503,FNP-U00004,AD-001,CMP-001,click,10,21,1,2026-02-04 06:06:54
ENG-026495,IMP-083546,FNP-U00004,AD-008,CMP-002,scroll,22,82,2,2026-02-18 18:26:32
ENG-040506,IMP-176496,FNP-U00004,AD-016,CMP-004,click,4,32,1,2026-02-24 13:32:31
ENG-061991,IMP-139485,FNP-U00004,AD-004,CMP-001,hover,4,15,2,2026-03-05 10:00:29
ENG-077870,IMP-027307,FNP-U00004,AD-006,CMP-002,click,1,24,1,2026-03-18 18:40:11
ENG-060720,IMP-101254,FNP-U00004,AD-009,CMP-003,hover,17,13,2,2026-03-22 18:17:13
ENG-072596,IMP-056551,FNP-U00004,AD-009,CMP-003,hover,16,10,2,2026-03-30 06:54:43
ENG-045473,IMP-034621,FNP-U00005,AD-014,CMP-004,hover,9,8,2,2026-01-17 13:36:44
ENG-026386,IMP-175317,FNP-U00005,AD-017,CMP-005,scroll,103,86,2,2026-01-22 21:46:51
ENG-055245,IMP-015116,FNP-U00005,AD-018,CMP-005,video_watch,152,84,2,2026-01-25 21:28:09
ENG-051043,IMP-035768,FNP-U00005,AD-015,CMP-004,hover,11,13,2,2026-02-18 06:05:26
ENG-001070,IMP-034147,FNP-U00005,AD-011,CMP-003,video_watch,122,52,1,2026-02-18 18:38:02
ENG-017521,IMP-084148,FNP-U00005,AD-002,CMP-001,scroll,20,40,3,2026-02-21 09:06:54
