spend_id,campaign_id,spend_date,total_spend,impressions,clicks
SP-001,CMP-001,2026-01-01,380000,519,19
SP-002,CMP-001,2026-01-02,360000,550,18
SP-003,CMP-001,2026-01-03,320000,489,16
SP-004,CMP-001,2026-01-04,420000,530,21
SP-005,CMP-001,2026-01-05,340000,502,17
SP-006,CMP-001,2026-01-06,300000,502,15
SP-007,CMP-001,2026-01-07,340000,512,17
SP-008,CMP-001,2026-01-08,360000,492,18
SP-009,CMP-001,2026-01-09,400000,556,20
SP-010,CMP-001,2026-01-10,320000,532,16
SP-011,CMP-001,2026-01-11,360000,515,18
SP-012,CMP-001,2026-01-12,540000,553,27
SP-013,CMP-001,2026-01-13,320000,497,16
SP-014,CMP-001,2026-01-14,240000,522,12
SP-015,CMP-002,2026-01-10,350000,452,16
SP-016,CMP-002,2026-01-11,218750,428,10
SP-017,CMP-002,2026-01-12,196875,456,9
SP-018,CMP-002,2026-01-13,306250,463,14
SP-019,CMP-002,2026-01-14,328125,483,15
SP-020,CMP-002,2026-01-15,153125,465,7
SP-021,CMP-002,2026-01-16,240625,446,11
SP-022,CMP-002,2026-01-17,240625,443,11
SP-023,CMP-002,2026-01-18,240625,472,11
SP-024,CMP-002,2026-01-19,350000,448,16
SP-025,CMP-002,2026-01-20,393750,456,18
SP-026,CMP-002,2026-01-21,393750,459,18
SP-027,CMP-002,2026-01-22,328125,427,15
SP-028,CMP-002,2026-01-23,262500,428,12
SP-029,CMP-002,2026-01-24,196875,476,9
SP-030,CMP-003,2026-01-05,120000,386,17
SP-031,CMP-003,2026-01-06,110000,395,13
SP-032,CMP-003,2026-01-07,90000,383,8
SP-033,CMP-003,2026-01-08,95000,386,10
SP-034,CMP-003,2026-01-09,105000,409,13
SP-035,CMP-003,2026-01-10,98000,353,14
SP-036,CMP-003,2026-01-11,92000,375,11
SP-037,CMP-003,2026-01-12,88000,400,9
SP-038,CMP-003,2026-01-13,96000,385,12
SP-039,CMP-003,2026-01-14,85000,397,8
SP-040,CMP-003,2026-01-15,70000,373,5
SP-041,CMP-003,2026-01-16,90000,374,11
SP-042,CMP-003,2026-01-17,95000,389,12
SP-043,CMP-003,2026-01-18,140000,361,24
SP-044,CMP-003,2026-01-19,100000,370,15
SP-045,CMP-003,2026-01-20,92000,391,11
SP-046,CMP-003,2026-01-21,98000,400,12
SP-047,CMP-003,2026-01-22,70000,399,5
SP-048,CMP-003,2026-01-23,85000,390,8
SP-049,CMP-003,2026-01-24,110000,392,15
SP-050,CMP-003,2026-01-25,63000,408,5
SP-051,CMP-003,2026-01-26,90000,395,9
SP-052,CMP-003,2026-01-27,88000,383,11
SP-053,CMP-003,2026-01-28,50000,373,4
SP-054,CMP-003,2026-01-29,95000,375,13
SP-055,CMP-003,2026-01-30,110000,372,15
SP-056,CMP-003,2026-01-31,80000,393,8
SP-057,CMP-003,2026-02-01,75000,390,7
SP-058,CMP-003,2026-02-02,90000,382,9
SP-059,CMP-003,2026-02-03,130000,399,16
SP-060,CMP-003,2026-02-04,85000,344,9
SP-061,CMP-003,2026-02-05,115000,415,14
SP-062,CMP-004,2026-02-01,147840,345,11
SP-063,CMP-004,2026-02-02,241920,335,18
SP-064,CMP-004,2026-02-03,134400,344,10
SP-065,CMP-004,2026-02-04,134400,335,10
SP-066,CMP-004,2026-02-05,134400,350,10
SP-067,CMP-004,2026-02-06,120960,420,9
SP-068,CMP-004,2026-02-07,188160,378,14
SP-069,CMP-004,2026-02-08,53760,348,4
SP-070,CMP-004,2026-02-09,134400,367,10
SP-071,CMP-004,2026-02-10,80640,368,6
SP-072,CMP-004,2026-02-11,120960,309,9
SP-073,CMP-004,2026-02-12,107520,354,8
SP-074,CMP-004,2026-02-13,215040,352,16
SP-075,CMP-004,2026-02-14,161280,351,12
SP-076,CMP-004,2026-02-15,147840,370,11
SP-077,CMP-004,2026-02-16,147840,340,11
SP-078,CMP-004,2026-02-17,147840,360,11
SP-079,CMP-004,2026-02-18,80800,324,6
SP-080,CMP-005,2026-02-10,184615,318,9
SP-081,CMP-005,2026-02-11,328205,327,16
SP-082,CMP-005,2026-02-12,307692,366,15
SP-083,CMP-005,2026-02-13,246154,361,12
SP-084,CMP-005,2026-02-14,205128,375,10
SP-085,CMP-005,2026-02-15,205128,312,10
SP-086,CMP-005,2026-02-16,225641,356,11
SP-087,CMP-005,2026-02-17,143590,365,7
SP-088,CMP-005,2026-02-18,205128,357,10
SP-089,CMP-005,2026-02-19,184615,346,9
SP-090,CMP-005,2026-02-20,287179,372,14
SP-091,CMP-005,2026-02-21,205128,323,10
SP-092,CMP-005,2026-02-22,287179,331,14
SP-093,CMP-005,2026-02-23,184615,333,9
SP-094,CMP-005,2026-02-24,184615,355,9
SP-095,CMP-005,2026-02-25,225641,329,11
SP-096,CMP-005,2026-02-26,246154,353,12
SP-097,CMP-005,2026-02-27,225641,326,11
SP-098,CMP-005,2026-02-28,205128,343,10
SP-099,CMP-005,2026-03-01,184615,360,9
SP-100,CMP-005,2026-03-02,328209,347,6
SP-101,CMP-006,2026-03-01,192661,176,6
SP-102,CMP-006,2026-03-02,160550,166,5
SP-103,CMP-006,2026-03-03,64220,162,2
SP-104,CMP-006,2026-03-04,224771,173,7
SP-105,CMP-006,2026-03-05,160550,166,5
SP-106,CMP-006,2026-03-06,160550,174,5
SP-107,CMP-006,2026-03-07,256881,181,8
SP-108,CMP-006,2026-03-08,321101,165,10
SP-109,CMP-006,2026-03-09,160550,183,5
SP-110,CMP-006,2026-03-10,192661,151,6
SP-111,CMP-006,2026-03-11,321101,174,10
SP-112,CMP-006,2026-03-12,96330,165,3
SP-113,CMP-006,2026-03-13,160550,159,5
SP-114,CMP-006,2026-03-14,192661,166,6
SP-115,CMP-006,2026-03-15,192651,168,6
SP-116,CMP-006,2026-03-16,96342,173,3
SP-117,CMP-006,2026-03-17,96330,153,3
SP-118,CMP-006,2026-03-18,160550,179,5
SP-119,CMP-006,2026-03-19,128440,167,4
SP-120,CMP-006,2026-03-20,160550,176,5
