conversion_id,click_id,user_id,ad_id,campaign_id,conversion_type,conversion_value,conversion_time
CONV-0001,CLK-002942,FNP-U05473,AD-001,CMP-001,Deposit,100000,2026-03-18 20:12:30
CONV-0002,CLK-004667,FNP-U08479,AD-013,CMP-004,Deposit,75000,2026-03-04 10:09:13
CONV-0003,CLK-001645,FNP-U01547,AD-017,CMP-005,Deposit,40000,2026-03-26 19:32:19
CONV-0004,CLK-001628,FNP-U00240,AD-002,CMP-001,Signup,0,2026-01-05 07:46:21
CONV-0005,CLK-003864,FNP-U00558,AD-006,CMP-002,Deposit,15000,2026-01-20 10:14:37
CONV-0006,CLK-004244,FNP-U03036,AD-008,CMP-002,Transfer,200000,2026-03-23 14:26:59
CONV-0007,CLK-002736,FNP-U03280,AD-005,CMP-002,Deposit,50000,2026-01-25 22:21:18
CONV-0008,CLK-000938,FNP-U09169,AD-007,CMP-002,Deposit,5000,2026-01-17 10:46:09
CONV-0009,CLK-005888,FNP-U03433,AD-009,CMP-003,Signup,0,2026-03-24 13:47:58
CONV-0010,CLK-001305,FNP-U01334,AD-010,CMP-003,Signup,0,2026-01-20 06:34:05
CONV-0011,CLK-002533,FNP-U06536,AD-009,CMP-003,Signup,0,2026-02-02 21:42:29
CONV-0012,CLK-002395,FNP-U09135,AD-004,CMP-001,Signup,0,2026-02-10 18:23:44
CONV-0013,CLK-005863,FNP-U05428,AD-002,CMP-001,Signup,0,2026-02-11 10:29:22
CONV-0014,CLK-002405,FNP-U01021,AD-013,CMP-004,Bills,7000,2026-01-08 15:06:52
CONV-0015,CLK-003060,FNP-U08076,AD-001,CMP-001,Airtime,500,2026-03-09 20:14:23
CONV-0016,CLK-003815,FNP-U08446,AD-010,CMP-003,Signup,0,2026-03-28 14:23:46
CONV-0017,CLK-001157,FNP-U06868,AD-002,CMP-001,Signup,0,2026-01-15 20:11:11
CONV-0018,CLK-002217,FNP-U03544,AD-019,CMP-005,Deposit,50000,2026-02-20 14:42:03
CONV-0019,CLK-001542,FNP-U00473,AD-014,CMP-004,Signup,0,2026-03-31 06:42:29
CONV-0020,CLK-005060,FNP-U03638,AD-009,CMP-003,Deposit,50000,2026-03-27 14:03:36
CONV-0021,CLK-005127,FNP-U01278,AD-017,CMP-005,Merchant,30000,2026-02-25 15:07:47
CONV-0022,CLK-005991,FNP-U04657,AD-008,CMP-002,Bills,15000,2026-03-05 11:18:51
CONV-0023,CLK-004062,FNP-U09732,AD-014,CMP-004,Deposit,40000,2026-01-05 07:56:42
CONV-0024,CLK-000892,FNP-U07185,AD-017,CMP-005,Deposit,30000,2026-01-21 22:27:43
CONV-0025,CLK-001156,FNP-U08277,AD-009,CMP-003,Signup,0,2026-02-10 10:25:13
CONV-0026,CLK-005854,FNP-U08312,AD-010,CMP-003,Signup,0,2026-03-05 15:11:33
CONV-0027,CLK-002796,FNP-U01326,AD-004,CMP-001,Signup,0,2026-03-11 10:01:53
CONV-0028,CLK-001375,FNP-U00698,AD-008,CMP-002,Deposit,40000,2026-03-08 13:38:51
CONV-0029,CLK-004248,FNP-U04166,AD-024,CMP-006,Deposit,20000,2026-03-19 20:10:54
CONV-0030,CLK-002073,FNP-U07076,AD-002,CMP-001,Deposit,50000,2026-03-30 14:20:07
CONV-0031,CLK-005302,FNP-U08481,AD-001,CMP-001,Signup,0,2026-02-15 00:50:21
CONV-0032,CLK-005073,FNP-U09399,AD-004,CMP-001,Signup,0,2026-03-05 16:06:04
CONV-0033,CLK-003557,FNP-U06617,AD-017,CMP-005,Deposit,75000,2026-01-10 14:29:16
CONV-0034,CLK-003090,FNP-U08853,AD-013,CMP-004,Deposit,75000,2026-03-22 21:28:52
CONV-0035,CLK-003399,FNP-U08046,AD-021,CMP-006,Deposit,5000,2026-01-23 20:48:22
CONV-0036,CLK-001970,FNP-U00412,AD-012,CMP-003,Signup,0,2026-02-25 00:35:45
CONV-0037,CLK-001498,FNP-U05479,AD-018,CMP-005,Merchant,20000,2026-01-11 10:17:39
CONV-0038,CLK-000389,FNP-U03730,AD-007,CMP-002,Deposit,50000,2026-03-11 22:29:05
CONV-0039,CLK-001087,FNP-U07454,AD-021,CMP-006,Deposit,25000,2026-03-03 19:48:10
CONV-0040,CLK-002035,FNP-U06115,AD-009,CMP-003,Signup,0,2026-02-05 14:46:20
CONV-0041,CLK-000886,FNP-U04907,AD-002,CMP-001,Deposit,25000,2026-03-01 09:57:09
CONV-0042,CLK-004415,FNP-U06305,AD-018,CMP-005,Merchant,5000,2026-03-17 22:39:12
CONV-0043,CLK-005695,FNP-U03652,AD-021,CMP-006,Deposit,10000,2026-03-04 19:52:06
CONV-0044,CLK-004995,FNP-U02375,AD-004,CMP-001,Signup,0,2026-03-07 10:58:37
CONV-0045,CLK-005007,FNP-U07646,AD-004,CMP-001,Signup,0,2026-02-02 23:00:08
CONV-0046,CLK-005279,FNP-U07194,AD-011,CMP-003,Signup,0,2026-03-08 22:10:55
CONV-0047,CLK-002417,FNP-U01656,AD-016,CMP-004,Deposit,40000,2026-03-04 09:51:35
CONV-0048,CLK-005070,FNP-U02389,AD-021,CMP-006,Deposit,15000,2026-01-23 10:17:23
CONV-0049,CLK-005401,FNP-U01099,AD-010,CMP-003,Signup,0,2026-02-05 13:38:10
CONV-0050,CLK-002030,FNP-U05515,AD-015,CMP-004,Deposit,10000,2026-03-12 09:35:52
CONV-0051,CLK-004731,FNP-U00736,AD-001,CMP-001,Deposit,20000,2026-01-02 20:00:31
CONV-0052,CLK-000987,FNP-U07109,AD-004,CMP-001,Signup,0,2026-02-10 13:50:03
CONV-0053,CLK-003222,FNP-U03022,AD-012,CMP-003,Signup,0,2026-01-04 20:27:19
CONV-0054,CLK-001051,FNP-U06774,AD-010,CMP-003,Deposit,50000,2026-03-05 22:20:00
CONV-0055,CLK-000581,FNP-U07551,AD-022,CMP-006,Deposit,25000,2026-03-01 00:59:33
CONV-0056,CLK-002902,FNP-U06538,AD-010,CMP-003,Signup,0,2026-01-06 15:06:09
CONV-0057,CLK-002685,FNP-U08562,AD-017,CMP-005,Deposit,10000,2026-02-19 21:56:49
CONV-0058,CLK-004577,FNP-U02016,AD-008,CMP-002,Merchant,30000,2026-01-04 14:15:00
CONV-0059,CLK-003981,FNP-U03934,AD-014,CMP-004,Deposit,50000,2026-02-13 13:57:00
CONV-0060,CLK-000436,FNP-U09590,AD-008,CMP-002,Transfer,10000,2026-01-21 15:15:37
CONV-0061,CLK-003364,FNP-U08219,AD-008,CMP-002,Deposit,100000,2026-01-29 23:36:48
CONV-0062,CLK-000225,FNP-U09001,AD-012,CMP-003,Signup,0,2026-03-14 14:38:11
CONV-0063,CLK-004972,FNP-U08319,AD-014,CMP-004,Deposit,25000,2026-02-13 06:57:46
CONV-0064,CLK-004583,FNP-U02613,AD-002,CMP-001,Signup,0,2026-02-28 11:32:37
CONV-0065,CLK-000493,FNP-U09947,AD-013,CMP-004,Bills,2000,2026-01-15 10:48:16
CONV-0066,CLK-004917,FNP-U00029,AD-003,CMP-001,Signup,0,2026-03-09 00:52:39
CONV-0067,CLK-004193,FNP-U09209,AD-004,CMP-001,Signup,0,2026-02-02 20:10:27
CONV-0068,CLK-001146,FNP-U05914,AD-017,CMP-005,Merchant,20000,2026-01-05 15:18:32
CONV-0069,CLK-005274,FNP-U07542,AD-018,CMP-005,Transfer,20000,2026-03-27 13:42:45
CONV-0070,CLK-000997,FNP-U05111,AD-006,CMP-002,Deposit,40000,2026-02-16 09:23:39
CONV-0071,CLK-001103,FNP-U02608,AD-006,CMP-002,Deposit,15000,2026-02-01 14:16:11
CONV-0072,CLK-003985,FNP-U01235,AD-007,CMP-002,Deposit,5000,2026-03-27 15:12:36
CONV-0073,CLK-003879,FNP-U07091,AD-021,CMP-006,Signup,0,2026-03-02 20:12:59
CONV-0074,CLK-005525,FNP-U07520,AD-001,CMP-001,Deposit,50000,2026-02-05 15:28:25
CONV-0075,CLK-001286,FNP-U09612,AD-021,CMP-006,Signup,0,2026-03-07 20:07:01
CONV-0076,CLK-005306,FNP-U02232,AD-004,CMP-001,Signup,0,2026-03-15 20:25:25
CONV-0077,CLK-002154,FNP-U03668,AD-004,CMP-001,Signup,0,2026-01-29 19:23:37
CONV-0078,CLK-000375,FNP-U03072,AD-020,CMP-005,Deposit,40000,2026-01-10 23:50:34
CONV-0079,CLK-000701,FNP-U06345,AD-008,CMP-002,Deposit,20000,2026-01-29 23:31:16
CONV-0080,CLK-003749,FNP-U07584,AD-004,CMP-001,Signup,0,2026-02-13 22:53:29
CONV-0081,CLK-001835,FNP-U04095,AD-001,CMP-001,Signup,0,2026-01-28 10:38:08
CONV-0082,CLK-001163,FNP-U04704,AD-006,CMP-002,Deposit,20000,2026-03-09 07:48:20
CONV-0083,CLK-004490,FNP-U08987,AD-007,CMP-002,Merchant,50000,2026-03-13 09:49:21
CONV-0084,CLK-001110,FNP-U01721,AD-008,CMP-002,Deposit,20000,2026-01-13 20:22:51
CONV-0085,CLK-001755,FNP-U00690,AD-021,CMP-006,Signup,0,2026-03-01 14:04:22
CONV-0086,CLK-002232,FNP-U04493,AD-017,CMP-005,Deposit,30000,2026-03-03 20:31:52
CONV-0087,CLK-001816,FNP-U04024,AD-008,CMP-002,Deposit,100000,2026-03-03 10:31:17
CONV-0088,CLK-000068,FNP-U05732,AD-008,CMP-002,Transfer,75000,2026-03-14 15:18:37
CONV-0089,CLK-005864,FNP-U06733,AD-018,CMP-005,Merchant,15000,2026-02-27 13:30:02
CONV-0090,CLK-002718,FNP-U04416,AD-014,CMP-004,Signup,0,2026-02-05 02:30:47
CONV-0091,CLK-003913,FNP-U09017,AD-008,CMP-002,Merchant,30000,2026-03-30 15:29:17
CONV-0092,CLK-003403,FNP-U09076,AD-015,CMP-004,Deposit,75000,2026-01-14 14:49:18
CONV-0093,CLK-001207,FNP-U03689,AD-008,CMP-002,Deposit,15000,2026-02-08 19:53:48
CONV-0094,CLK-003603,FNP-U08428,AD-004,CMP-001,Signup,0,2026-01-22 14:44:52
CONV-0095,CLK-005308,FNP-U09143,AD-008,CMP-002,Deposit,40000,2026-03-08 10:53:53
CONV-0096,CLK-005404,FNP-U01311,AD-017,CMP-005,Merchant,30000,2026-03-11 20:03:39
CONV-0097,CLK-001420,FNP-U07766,AD-021,CMP-006,Signup,0,2026-01-12 19:30:09
CONV-0098,CLK-002992,FNP-U07774,AD-006,CMP-002,Deposit,25000,2026-03-09 14:59:15
CONV-0099,CLK-000627,FNP-U02126,AD-009,CMP-003,Signup,0,2026-01-18 19:27:14
CONV-0100,CLK-001483,FNP-U09785,AD-008,CMP-002,Deposit,100000,2026-03-17 10:55:58
CONV-0101,CLK-000774,FNP-U09191,AD-004,CMP-001,Signup,0,2026-01-26 10:24:32
CONV-0102,CLK-000895,FNP-U01936,AD-004,CMP-001,Signup,0,2026-02-19 15:37:19
CONV-0103,CLK-003508,FNP-U08284,AD-012,CMP-003,Signup,0,2026-02-05 15:04:22
CONV-0104,CLK-005965,FNP-U09762,AD-018,CMP-005,Transfer,100000,2026-01-27 10:00:16
CONV-0105,CLK-000152,FNP-U06727,AD-013,CMP-004,Bills,2000,2026-03-29 21:41:28
CONV-0106,CLK-004015,FNP-U08352,AD-015,CMP-004,Signup,0,2026-01-30 15:50:04
CONV-0107,CLK-003900,FNP-U04443,AD-004,CMP-001,Signup,0,2026-03-20 14:01:29
CONV-0108,CLK-000103,FNP-U07405,AD-001,CMP-001,Signup,0,2026-02-08 15:29:02
CONV-0109,CLK-000452,FNP-U02524,AD-008,CMP-002,Deposit,40000,2026-03-21 10:58:49
CONV-0110,CLK-004400,FNP-U01277,AD-006,CMP-002,Deposit,30000,2026-02-18 11:09:20
CONV-0111,CLK-000814,FNP-U01349,AD-001,CMP-001,Signup,0,2026-03-31 23:06:55
CONV-0112,CLK-004507,FNP-U08176,AD-006,CMP-002,Transfer,50000,2026-02-13 22:20:47
CONV-0113,CLK-002135,FNP-U00308,AD-017,CMP-005,Merchant,15000,2026-03-15 21:58:04
CONV-0114,CLK-003183,FNP-U00427,AD-010,CMP-003,Signup,0,2026-03-29 14:51:17
CONV-0115,CLK-001918,FNP-U00559,AD-017,CMP-005,Transfer,75000,2026-02-01 23:06:50
CONV-0116,CLK-001942,FNP-U03283,AD-014,CMP-004,Deposit,75000,2026-01-08 00:48:31
CONV-0117,CLK-005851,FNP-U01759,AD-004,CMP-001,Signup,0,2026-03-12 20:22:11
CONV-0118,CLK-003025,FNP-U02580,AD-010,CMP-003,Signup,0,2026-02-28 07:38:24
CONV-0119,CLK-000345,FNP-U06881,AD-002,CMP-001,Airtime,1000,2026-03-04 07:05:35
CONV-0120,CLK-005267,FNP-U07665,AD-013,CMP-004,Transfer,75000,2026-02-10 09:56:52
CONV-0121,CLK-005677,FNP-U06891,AD-010,CMP-003,Signup,0,2026-02-19 14:17:56
CONV-0122,CLK-002282,FNP-U04058,AD-001,CMP-001,Deposit,100000,2026-03-23 13:22:37
CONV-0123,CLK-001528,FNP-U03793,AD-008,CMP-002,Transfer,200000,2026-02-24 14:58:11
CONV-0124,CLK-005513,FNP-U00310,AD-007,CMP-002,Transfer,75000,2026-03-21 10:10:39
CONV-0125,CLK-003100,FNP-U00892,AD-008,CMP-002,Deposit,40000,2026-02-16 11:01:10
CONV-0126,CLK-002327,FNP-U05158,AD-008,CMP-002,Deposit,25000,2026-01-09 07:01:40
CONV-0127,CLK-003599,FNP-U05365,AD-014,CMP-004,Signup,0,2026-03-20 07:40:28
CONV-0128,CLK-000377,FNP-U00398,AD-002,CMP-001,Signup,0,2026-01-31 19:11:18
CONV-0129,CLK-002039,FNP-U00855,AD-013,CMP-004,Bills,7000,2026-02-14 07:58:52
CONV-0130,CLK-001957,FNP-U09695,AD-018,CMP-005,Deposit,25000,2026-03-08 10:08:39
CONV-0131,CLK-005657,FNP-U07955,AD-002,CMP-001,Signup,0,2026-03-12 08:27:25
CONV-0132,CLK-004346,FNP-U01400,AD-021,CMP-006,Bills,15000,2026-02-08 10:12:22
CONV-0133,CLK-000150,FNP-U05062,AD-023,CMP-006,Deposit,20000,2026-03-21 14:44:41
CONV-0134,CLK-004011,FNP-U01845,AD-004,CMP-001,Deposit,50000,2026-01-13 10:05:26
CONV-0135,CLK-001604,FNP-U08519,AD-010,CMP-003,Signup,0,2026-01-07 20:33:05
CONV-0136,CLK-001086,FNP-U08842,AD-011,CMP-003,Signup,0,2026-02-05 23:08:18
CONV-0137,CLK-005502,FNP-U05271,AD-015,CMP-004,Deposit,15000,2026-03-02 18:40:39
CONV-0138,CLK-005094,FNP-U04604,AD-006,CMP-002,Deposit,15000,2026-01-01 13:33:15
CONV-0139,CLK-001558,FNP-U03087,AD-013,CMP-004,Deposit,15000,2026-03-14 07:47:46
CONV-0140,CLK-005507,FNP-U05823,AD-015,CMP-004,Deposit,10000,2026-03-14 19:10:34
CONV-0141,CLK-001808,FNP-U03543,AD-002,CMP-001,Signup,0,2026-02-17 22:49:33
CONV-0142,CLK-001863,FNP-U06322,AD-003,CMP-001,Signup,0,2026-01-06 18:23:53
CONV-0143,CLK-003080,FNP-U00287,AD-017,CMP-005,Merchant,10000,2026-01-28 22:22:18
CONV-0144,CLK-004510,FNP-U07449,AD-012,CMP-003,Signup,0,2026-01-08 11:57:27
