impression_id,user_id,ad_id,campaign_id,impression_time,device_type
IMP-059922,FNP-U05158,AD-009,CMP-003,2026-03-12 21:31:18,Mobile
IMP-014905,FNP-U01148,AD-018,CMP-005,2026-03-01 06:57:12,Mobile
IMP-077946,FNP-U07016,AD-009,CMP-003,2026-03-19 13:48:09,Desktop
IMP-155220,FNP-U01799,AD-013,CMP-004,2026-03-31 09:11:48,Desktop
IMP-020106,FNP-U01394,AD-004,CMP-001,2026-03-09 13:03:26,Desktop
IMP-190392,FNP-U02490,AD-019,CMP-005,2026-02-22 21:04:52,Mobile
IMP-194812,FNP-U07600,AD-001,CMP-001,2026-02-19 21:03:17,Mobile
IMP-125539,FNP-U06415,AD-006,CMP-002,2026-03-27 18:11:18,Mobile
IMP-161118,FNP-U04484,AD-023,CMP-006,2026-01-08 21:11:46,Mobile
IMP-091117,FNP-U05483,AD-005,CMP-002,2026-01-05 21:14:45,Mobile
IMP-060066,FNP-U04336,AD-008,CMP-002,2026-03-28 09:55:45,Mobile
IMP-094349,FNP-U00398,AD-011,CMP-003,2026-01-29 13:23:45,Desktop
IMP-061401,FNP-U07113,AD-010,CMP-003,2026-02-14 18:34:31,Mobile
IMP-083385,FNP-U00093,AD-001,CMP-001,2026-02-17 09:18:09,Mobile
IMP-151137,FNP-U02591,AD-012,CMP-003,2026-01-01 21:43:14,Mobile
IMP-189272,FNP-U09474,AD-012,CMP-003,2026-03-04 13:06:54,Mobile
IMP-081911,FNP-U05257,AD-004,CMP-001,2026-02-09 13:05:02,Mobile
IMP-046999,FNP-U00350,AD-015,CMP-004,2026-03-05 18:47:07,Mobile
IMP-057938,FNP-U04039,AD-001,CMP-001,2026-03-22 09:35:00,Mobile
IMP-019865,FNP-U07576,AD-002,CMP-001,2026-01-27 00:16:31,Mobile
IMP-149554,FNP-U09866,AD-023,CMP-006,2026-02-24 13:22:17,Mobile
IMP-102573,FNP-U07658,AD-016,CMP-004,2026-02-19 21:48:28,Desktop
IMP-029184,FNP-U09960,AD-017,CMP-005,2026-01-01 13:52:09,Desktop
IMP-140781,FNP-U03078,AD-009,CMP-003,2026-02-07 13:46:45,Mobile
IMP-152139,FNP-U00918,AD-019,CMP-005,2026-01-28 09:49:40,Mobile
IMP-194726,FNP-U03453,AD-002,CMP-001,2026-03-09 18:06:02,Mobile
IMP-082819,FNP-U07507,AD-021,CMP-006,2026-02-12 18:56:48,Mobile
IMP-169471,FNP-U08587,AD-001,CMP-001,2026-03-04 09:27:39,Mobile
IMP-153410,FNP-U01938,AD-015,CMP-004,2026-02-27 18:36:49,Desktop
IMP-198215,FNP-U04528,AD-018,CMP-005,2026-03-17 06:55:27,Mobile
IMP-178787,FNP-U06827,AD-001,CMP-001,2026-01-08 21:53:48,Desktop
IMP-107355,FNP-U06826,AD-003,CMP-001,2026-01-12 21:32:04,Mobile
IMP-190147,FNP-U02881,AD-017,CMP-005,2026-01-04 06:17:26,Mobile
IMP-011418,FNP-U05935,AD-004,CMP-001,2026-01-13 21:54:35,Mobile
IMP-130239,FNP-U02288,AD-014,CMP-004,2026-01-15 09:48:05,Mobile
IMP-187016,FNP-U04899,AD-022,CMP-006,2026-03-11 00:36:06,Mobile
IMP-061404,FNP-U08272,AD-013,CMP-004,2026-03-22 09:53:07,Mobile
IMP-033810,FNP-U06717,AD-001,CMP-001,2026-01-10 13:31:18,Mobile
IMP-028350,FNP-U01905,AD-003,CMP-001,2026-03-01 21:27:30,Desktop
IMP-050036,FNP-U03582,AD-014,CMP-004,2026-02-01 06:56:43,Mobile
IMP-137681,FNP-U01733,AD-012,CMP-003,2026-03-20 18:04:12,Mobile
IMP-062418,FNP-U05766,AD-021,CMP-006,2026-01-08 13:01:05,Mobile
IMP-189152,FNP-U00508,AD-012,CMP-003,2026-01-07 09:12:19,Desktop
IMP-067360,FNP-U08773,AD-002,CMP-001,2026-01-10 09:53:08,Mobile
IMP-002237,FNP-U03959,AD-012,CMP-003,2026-03-03 18:08:58,Mobile
IMP-019922,FNP-U04424,AD-004,CMP-001,2026-01-29 21:11:46,Mobile
IMP-065546,FNP-U02495,AD-003,CMP-001,2026-01-30 06:20:59,Mobile
IMP-077871,FNP-U03593,AD-004,CMP-001,2026-01-04 09:10:31,Mobile
IMP-167777,FNP-U09294,AD-016,CMP-004,2026-01-27 21:42:05,Desktop
IMP-019574,FNP-U00639,AD-002,CMP-001,2026-02-16 21:08:21,Mobile
